"joulukuu";"décembre";;"nom"
"marraskuu";"novembre";;"nom"
"lokakuu";"octobre";;"nom"
"syyskuu";"septembre";;"nom"
"elokuu";"août";;"nom"
"heinäkuu";"juillet";;"nom"
"kesäkuu";"juin";;"nom"
"toukokuu";"mai";;"nom"
"huhtikuu";"avril";;"nom"
"maaliskuu";"mars";;"nom"
"helmikuu";"février";;"nom"
"tammikuu";"janvier";;"nom"
"luode";"nord-ouest";;"nom"
"kaakko";"sud-est";;"nom"
"koillinen";"nord-est";;"nom"
"länsi";"ouest";;"nom"
"itä";"est";;"nom"
"etelä";"sud";;"nom"
"pohjoinen";"nord";;"nom"
"öljy";"huile/pétrole";;"nom"
"äyriäinen";"crustacé";;"nom"
"ärsyttää";"énerver, agacer";;"verbe"
"äkäinen";"irrascible, grognon, ronchon";;"adjectif"
"yöpöytä";"table de chevet";;"nom"
"yöpyä";"passer la nuit qqpart";;"verbe"
"yöpuku";"pyjama, robe de chambre";;"nom"
"yö";"nuit";;"nom"
"ystävänpäivä";"fête des amis (14 février)";;"nom"
"ystävällinen";"amical";;"adjectif"
"ystävä";"ami";;"nom"
"ystävystyä";"se faire un ami, se lier d'amitié";;"verbe"
"yskiä";"tousser";;"verbe"
"yrtti";"herbe aromatique";;"nom"
"yrittää";"essayer";;"verbe"
"yrittäjä";"entrepreneur";;"nom"
"ympäristö";"environnement";;"nom"
"ympyrä";"cercle";;"nom"
"ymmärtää";"comprendre";;"verbe"
"yläkerta";"étage";;"nom"
"ylpeä";"fier/arrogant";;"adjectif"
"yllätys";"surprise";;"nom"
"yllätyä";"être surpris";;"verbe"
"ylivoimainen";"supérieur, insurmontable";;"adjectif"
"ylittää";"traverser, excéder, dépasser";;"verbe"
"ylistää";"louer, acclamer";;"verbe"
"ylioppilas";"étudiant (universitaire)";;"nom"
"yliopisto";"université";;"nom"
"yliluonnollinen";"surnaturel";;"adjectif"
"ylellinen";"luxueux, somptueux";;"adjectif"
"yleisö";"public (groupe)";;"nom"
"yleinen";"courant, commun";;"adjectif"
"yksiö";"studio (logement)";;"nom"
"yksityiskohta";"détail";;"nom"
"yksinkertainen";"simple";;"adjectif"
"yhtye";"groupe (musique), orchestre";;"nom"
"yhteinen";"commun, partagé";;"adjectif"
"yhdistää";"connecter";;"verbe"
"yhdistys";"association";;"nom"
"väärä";"faux, incorrect, falsifié";;"adjectif"
"väärentää";"contrefaire, falsifier";;"verbe"
"vävy";"beau-fils (conjoint de la fille)";;"nom"
"väsyttää";"fatiguer";;"verbe"
"väsynyt";"fatigué";;"adjectif"
"väritön";"sans couleur";;"adjectif"
